,CelebName,CelebImageURL,Description,CelebImage
233, Priyanka Chopra,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY209_CR70,0,140,209_AL_.jpg","Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; ...                ","[[[250 213 191]
  [241 199 176]
  [222 170 147]
  ...
  [239 222 213]
  [238 221 212]
  [237 220 211]]

 [[250 213 191]
  [236 194 171]
  [216 164 141]
  ...
  [238 221 212]
  [237 220 211]
  [237 220 211]]

 [[249 212 190]
  [227 185 162]
  [205 153 130]
  ...
  [237 220 211]
  [236 219 210]
  [236 219 210]]

 ...

 [[156 180 186]
  [158 179 187]
  [168 186 197]
  ...
  [219 198 190]
  [216 197 189]
  [216 197 189]]

 [[159 180 188]
  [159 179 190]
  [168 186 197]
  ...
  [218 197 189]
  [216 197 189]
  [215 196 188]]

 [[157 171 183]
  [161 175 187]
  [164 178 190]
  ...
  [217 196 188]
  [215 196 188]
  [215 196 189]]]"
234, Freida Pinto,"https://m.media-amazon.com/images/M/MV5BMTg5NDI0MzM0NF5BMl5BanBnXkFtZTcwOTQ4NTIwNw@@._V1_UX140_CR0,0,140,209_AL_.jpg","Freida Selena Pinto was born in Bombay (now Mumbai), Maharashtra, India, to Sylvia, a school principal, and Frederick Pinto, a senior bank branch manager. She is from a Mangalorean family.Pinto traversed the modeling circuit in Mumbai (represented by Elite Model Management India) for two years ...                ","[[[128 121 124]
  [129 122 125]
  [132 122 128]
  ...
  [128 133 132]
  [134 134 134]
  [136 136 136]]

 [[128 121 124]
  [129 122 125]
  [132 122 128]
  ...
  [130 132 132]
  [134 134 134]
  [136 136 136]]

 [[127 122 124]
  [128 123 125]
  [130 123 128]
  ...
  [133 133 133]
  [135 134 136]
  [137 136 138]]

 ...

 [[ 55 100 157]
  [ 44  85 140]
  [ 63  97 151]
  ...
  [152 161 174]
  [161 170 180]
  [159 168 178]]

 [[ 63 103 161]
  [ 42  81 136]
  [ 52  88 142]
  ...
  [160 169 182]
  [172 181 191]
  [171 180 190]]

 [[ 73 108 164]
  [ 56  92 146]
  [ 40  75 131]
  ...
  [144 155 169]
  [170 180 190]
  [160 171 179]]]"
235, Kal Penn,"https://m.media-amazon.com/images/M/MV5BMTQ4NjM4NzczNF5BMl5BanBnXkFtZTcwNDc2NjAwNw@@._V1_UY209_CR6,0,140,209_AL_.jpg","Kal Penn was born and raised in Montclair, New Jersey, to Asmita, a fragrance evaluator, and Suresh Modi, an engineer. His parents are Gujarati immigrants to America from India. He attended the Freehold Regional High School District's Performing Arts High School where he participated in the ...                ","[[[185 183 183]
  [184 182 182]
  [190 185 186]
  ...
  [  8  13  16]
  [  8  13  16]
  [  8  13  16]]

 [[190 188 188]
  [185 183 183]
  [188 183 184]
  ...
  [  8  13  16]
  [  8  13  16]
  [  8  13  16]]

 [[189 187 187]
  [188 186 186]
  [190 188 188]
  ...
  [  8  13  16]
  [  8  13  16]
  [  8  13  16]]

 ...

 [[ 21  17  16]
  [ 23  19  18]
  [ 18  14  13]
  ...
  [ 30  22  22]
  [ 40  32  32]
  [ 34  26  26]]

 [[ 21  17  16]
  [ 23  19  18]
  [ 18  14  13]
  ...
  [ 28  20  20]
  [ 38  30  30]
  [ 35  27  27]]

 [[ 23  19  18]
  [ 21  17  16]
  [ 15  11  10]
  ...
  [ 26  21  20]
  [ 28  23  22]
  [ 30  25  24]]]"
236, Karan Brar,"https://m.media-amazon.com/images/M/MV5BNjM5MzkxNjgtZmY5MS00MGNjLTg2OGMtM2NjNmE1NDk5YzA5XkEyXkFqcGdeQXVyMjE4NjA3Njg@._V1_UX140_CR0,0,140,209_AL_.jpg","Best known for his role as 'Ravi Ross' on Disney Channel's hit series ""Jessie"" and its spinoff, ""Bunk'd,"" Karan Brar is taking Hollywood by storm and seeking to break cultural barriers in the entertainment industry. He stars in ""Bunk'd"" on Disney Channel and 2018 will be a major year for Karan as ...                ","[[[196 196 196]
  [197 197 197]
  [198 198 198]
  ...
  [213 213 213]
  [213 213 213]
  [213 213 213]]

 [[197 197 197]
  [197 197 197]
  [198 198 198]
  ...
  [215 215 215]
  [215 215 215]
  [215 215 215]]

 [[198 198 198]
  [199 199 199]
  [200 200 200]
  ...
  [217 217 217]
  [217 217 217]
  [217 217 217]]

 ...

 [[211 211 211]
  [211 211 211]
  [211 211 211]
  ...
  [221 221 221]
  [221 221 221]
  [221 221 221]]

 [[211 211 211]
  [211 211 211]
  [211 211 211]
  ...
  [221 221 221]
  [221 221 221]
  [221 221 221]]

 [[210 210 210]
  [210 210 210]
  [210 210 210]
  ...
  [223 223 223]
  [222 222 222]
  [220 220 220]]]"
237, Manish Dayal,"https://m.media-amazon.com/images/M/MV5BNGI5MDY4ZmMtNDZhNi00YjA2LTg2NjgtMjhkMTczYTcwYjJjXkEyXkFqcGdeQXVyMTE4MDAyNzA@._V1_UY209_CR8,0,140,209_AL_.jpg","Manish Dayal was born on June 17, 1983 in Orangeburg, South Carolina, USA as Manish Sudhir Patel. He is an actor and producer, known for The Hundred-Foot Journey (2014), Viceroy's House (2017) and Halt and Catch Fire (2014).                ","[[[194 190 189]
  [194 190 189]
  [194 190 189]
  ...
  [192 188 187]
  [192 188 187]
  [192 188 187]]

 [[194 190 189]
  [194 190 189]
  [194 190 189]
  ...
  [192 188 187]
  [192 188 187]
  [192 188 187]]

 [[194 190 189]
  [194 190 189]
  [194 190 189]
  ...
  [192 188 187]
  [192 188 187]
  [192 188 187]]

 ...

 [[102  60  47]
  [105  63  50]
  [107  65  52]
  ...
  [ 81  39  27]
  [ 78  36  24]
  [ 76  34  22]]

 [[ 99  57  44]
  [104  65  51]
  [116  74  61]
  ...
  [ 79  37  25]
  [ 77  35  23]
  [ 76  34  22]]

 [[ 91  51  39]
  [102  64  52]
  [102  62  50]
  ...
  [ 83  41  29]
  [ 77  35  23]
  [ 72  30  18]]]"
238, Sakina Jaffrey,"https://m.media-amazon.com/images/M/MV5BMzk1ODM2NTgwNV5BMl5BanBnXkFtZTcwNzIyNjc4OQ@@._V1_UY209_CR8,0,140,209_AL_.jpg","Sakina Jaffrey was born on February 14, 1962 in Manhattan, New York, USA. She is an actress, known for House of Cards (2013), The Mindy Project (2012) and Mr. Robot (2015). She has been married to Francis Wilkinson since September 8, 1990. They have two children.                ","[[[  1   2   0]
  [  1   2   0]
  [  0   1   0]
  ...
  [ 26  26  26]
  [  0   0   0]
  [  0   0   0]]

 [[150 151 149]
  [150 151 149]
  [150 151 149]
  ...
  [135 135 135]
  [ 34  34  34]
  [  8   8   8]]

 [[223 224 222]
  [223 224 222]
  [223 224 222]
  ...
  [196 196 196]
  [ 55  55  55]
  [  3   3   3]]

 ...

 [[ 15  10  11]
  [ 19  14  15]
  [ 20  15  16]
  ...
  [ 61  76 109]
  [ 35  39  50]
  [ 19  19  19]]

 [[ 15  10  11]
  [ 20  15  16]
  [ 21  16  17]
  ...
  [ 63  76 108]
  [ 35  39  50]
  [ 19  19  19]]

 [[ 11   9   9]
  [ 13  11  11]
  [ 13  11  11]
  ...
  [ 58  72 101]
  [ 38  43  52]
  [ 17  20  18]]]"
239, Aasif Mandvi,"https://m.media-amazon.com/images/M/MV5BYzVlMDkzNGEtZjk0Yy00ZjRjLWI2OTEtN2U1N2E0ZDhlZmJkXkEyXkFqcGdeQXVyOTAyOTE4Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg","Aasif Mandvi was born on March 5, 1966 in Bombay, Maharashtra, India as Aasif Mandviwala. He is an actor and producer, known for Million Dollar Arm (2014), Evil (2019) and The Proposal (2009). He has been married to Shaifali Puri since August 26, 2017.                ","[[[61 53 53]
  [58 53 52]
  [55 53 52]
  ...
  [33 37 38]
  [41 45 46]
  [48 53 54]]

 [[61 53 53]
  [59 54 53]
  [55 53 52]
  ...
  [31 33 34]
  [30 34 35]
  [31 35 36]]

 [[61 53 53]
  [59 54 53]
  [56 54 53]
  ...
  [38 37 39]
  [32 34 35]
  [27 29 30]]

 ...

 [[18 16  8]
  [18 16  8]
  [18 16  8]
  ...
  [10 11  9]
  [10 11  9]
  [10 11  9]]

 [[18 16  8]
  [18 16  8]
  [18 16  8]
  ...
  [10 11  9]
  [10 11  9]
  [10 11  9]]

 [[18 16  8]
  [18 16  8]
  [18 16  8]
  ...
  [12 10  9]
  [12 10  9]
  [12 10  9]]]"
240, Kunal Nayyar,"https://m.media-amazon.com/images/M/MV5BMTQzMzQyMTYyM15BMl5BanBnXkFtZTcwNjYyMDI5Mg@@._V1_UY209_CR3,0,140,209_AL_.jpg","Kunal Nayyar is an Indian actor. He moved from India to the US in 1999. He first moved to Portland, Oregon, to study business. He started acting in plays as a way of making new friends. He took acting classes, but he went on to graduate from the University of Portland with a degree in business, as ...                ","[[[115  69  75]
  [117  71  77]
  [113  68  71]
  ...
  [239 204 106]
  [237 202 104]
  [242 208 108]]

 [[104  61  64]
  [106  63  66]
  [105  62  65]
  ...
  [237 202 105]
  [232 197  99]
  [235 200 102]]

 [[104  64  65]
  [108  69  67]
  [109  70  68]
  ...
  [237 199 105]
  [227 192  95]
  [229 194  97]]

 ...

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [ 14  12  12]
  [ 14  12  12]
  [ 14  12  12]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [ 15  13  13]
  [ 15  13  13]
  [ 15  13  13]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [ 16  14  14]
  [ 17  15  15]
  [ 16  14  14]]]"
241, Shelley Conn,"https://m.media-amazon.com/images/M/MV5BMTk2ODUzMzU1Ml5BMl5BanBnXkFtZTcwMzYxOTI5NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg","Shelley Conn was born on September 21, 1976 in London, England. She is an actress, known for Charlie and the Chocolate Factory (2005), Nina's Heavenly Delights (2006) and How Do You Know (2010). She has been married to Jonathan Kerrigan since 2011. They have one child.                ","[[[128 135 128]
  [135 142 135]
  [134 141 134]
  ...
  [209 213 201]
  [208 212 200]
  [208 212 200]]

 [[131 138 131]
  [137 144 137]
  [134 141 134]
  ...
  [209 213 201]
  [208 212 200]
  [208 212 200]]

 [[136 143 136]
  [138 145 138]
  [136 142 137]
  ...
  [209 213 201]
  [209 213 201]
  [208 212 200]]

 ...

 [[ 10  13  17]
  [ 15  18  22]
  [ 23  26  30]
  ...
  [ 94 142 190]
  [100 146 194]
  [103 149 197]]

 [[ 10  14  19]
  [ 14  19  22]
  [ 22  27  30]
  ...
  [ 95 141 188]
  [ 99 145 193]
  [102 148 195]]

 [[  5  13  20]
  [ 14  23  27]
  [ 30  36  41]
  ...
  [ 97 142 186]
  [103 147 194]
  [107 152 196]]]"
242, Naomi Scott,"https://m.media-amazon.com/images/M/MV5BMzQ5YWRlYjktZDM5My00N2YwLTg4N2ItYmY2ZDQ4ZGYwMzBkXkEyXkFqcGdeQXVyNDU1NjUxOTc@._V1_UY209_CR18,0,140,209_AL_.jpg","Naomi Scott is a multi-talented actor, singer and songwriter. She stars as ""Jasmine"" in Disney's blockbuster live action remake Aladdin (2019), alongside Mena Massoud and Will Smith, directed by Guy Ritchie. Disney released the film in May 2019, and it became one of the biggest films of the year....                ","[[[ 72  79  88]
  [ 73  80  89]
  [ 73  80  89]
  ...
  [109 126 129]
  [109 126 129]
  [109 126 129]]

 [[ 72  79  88]
  [ 73  80  89]
  [ 73  80  89]
  ...
  [108 125 128]
  [109 126 129]
  [109 126 129]]

 [[ 72  79  88]
  [ 73  80  89]
  [ 73  80  89]
  ...
  [110 125 128]
  [108 125 128]
  [109 126 129]]

 ...

 [[ 74  86  90]
  [ 70  82  86]
  [ 64  76  80]
  ...
  [  5   8  13]
  [ 27  30  34]
  [ 47  50  54]]

 [[ 65  77  81]
  [ 66  78  82]
  [ 67  79  83]
  ...
  [  9  12  17]
  [ 33  36  41]
  [ 53  56  60]]

 [[ 64  76  80]
  [ 64  76  80]
  [ 63  75  79]
  ...
  [ 20  22  30]
  [ 44  46  54]
  [ 58  62  67]]]"
243, Summer Bishil,"https://m.media-amazon.com/images/M/MV5BMTQ2NDQ0NjQ0M15BMl5BanBnXkFtZTgwNjA2NjAzNzE@._V1_UY209_CR87,0,140,209_AL_.jpg","Summer Bishil was born in Pasadena, California. She and her family moved overseas when she was three. Summer attended British and American schools while her family lived overseas, She returned to her home town of Pasadena just shy of her 14th birthday. In love with the idea of becoming an actress ...                ","[[[251 251 251]
  [251 251 251]
  [251 251 251]
  ...
  [ 90  82  83]
  [113 101 101]
  [115 103 103]]

 [[251 251 251]
  [251 251 251]
  [251 251 251]
  ...
  [ 83  73  73]
  [100  88  88]
  [105  93  93]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [ 79  65  66]
  [ 87  73  74]
  [ 97  84  82]]

 ...

 [[239 234 235]
  [239 234 235]
  [239 234 235]
  ...
  [ 44  53  73]
  [ 78  89 111]
  [120 130 154]]

 [[239 234 235]
  [239 234 235]
  [239 234 235]
  ...
  [ 50  61  83]
  [ 90 100 124]
  [125 136 163]]

 [[241 237 236]
  [239 235 234]
  [238 234 233]
  ...
  [ 51  61  85]
  [117 128 156]
  [114 125 155]]]"
244, Neel Sethi,"https://m.media-amazon.com/images/M/MV5BMTdjZjE2ODAtYmNkNC00ZGFkLTljNWEtYTA1YjA3OWI1YjVlXkEyXkFqcGdeQXVyOTA4OTY1MTc@._V1_UX140_CR0,0,140,209_AL_.jpg","Indian-American Neel Sethi was born on December 22, 2003, in New York City. He is a child actor who landed a break-out role as Mowgli in John Favreau's 2016 live-action version of the classic tale 'The Jungle Book'. He also starred in the short film 'Diwali' (2013).He was selected for the role of ...                ","[[[144 140 145]
  [144 140 145]
  [144 140 145]
  ...
  [ 47  36  32]
  [ 47  36  32]
  [ 47  36  32]]

 [[144 140 145]
  [144 140 145]
  [144 140 145]
  ...
  [ 47  36  32]
  [ 47  36  32]
  [ 47  36  32]]

 [[144 140 145]
  [144 140 145]
  [144 140 145]
  ...
  [ 47  36  32]
  [ 47  36  32]
  [ 47  36  32]]

 ...

 [[ 46  29  20]
  [ 45  28  19]
  [ 44  27  18]
  ...
  [ 82  47  33]
  [ 88  53  39]
  [ 78  43  29]]

 [[ 46  29  20]
  [ 45  28  19]
  [ 44  27  18]
  ...
  [ 80  45  31]
  [ 88  53  39]
  [ 77  42  28]]

 [[ 40  25  16]
  [ 40  25  16]
  [ 39  24  15]
  ...
  [ 74  37  23]
  [ 85  48  34]
  [ 84  47  33]]]"
245, Suraj Sharma,"https://m.media-amazon.com/images/M/MV5BMjI0MDU5NTM1OF5BMl5BanBnXkFtZTcwNDQ0MDYwOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg","Suraj was born and raised in New Dehli, India. His mother, Shailaja Sharma, is an economist and his father, Gokul Churai, is a software engineer. He has a brother and sister who are both younger than he. His father is from Thalassery, Kerala and his mother is from Palakkad, Kerala.Suraj was one of ...                ","[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 96  77  70]
  [ 99  80  73]
  [ 84  65  58]
  ...
  [116  94  83]
  [118  96  85]
  [118  96  85]]

 [[ 97  78  71]
  [ 99  80  73]
  [ 83  64  57]
  ...
  [116  94  83]
  [118  96  85]
  [117  95  84]]

 [[ 99  80  73]
  [ 94  75  68]
  [ 87  68  61]
  ...
  [118  96  85]
  [119  97  86]
  [120  98  87]]]"
246, Rohan Chand,"https://m.media-amazon.com/images/M/MV5BMzM0M2I1NjUtY2UyOS00M2M1LWExNTQtYWNhZTZhYzBjYjFhXkEyXkFqcGdeQXVyMjc4MzE2NTE@._V1_UY209_CR9,0,140,209_AL_.jpg","Rohan Chand was born in New York City.At the age of 6, while playing little league baseball, he caught the eye of a prominent New York-based casting director that cast him in the role of Adam Sandler's adopted son in Jack and Jill (2011). Rohan embraced every aspect of his new career, and his ...                ","[[[115 117 128]
  [123 125 136]
  [123 125 136]
  ...
  [182 190 180]
  [178 185 178]
  [177 184 177]]

 [[118 120 131]
  [121 123 134]
  [117 119 130]
  ...
  [179 187 177]
  [177 184 177]
  [177 184 177]]

 [[120 122 133]
  [123 125 136]
  [119 121 132]
  ...
  [175 182 175]
  [175 181 176]
  [174 180 175]]

 ...

 [[253 191 161]
  [237 175 145]
  [212 148 118]
  ...
  [241 178 144]
  [247 193 158]
  [253 203 167]]

 [[248 187 155]
  [223 161 131]
  [200 135 107]
  ...
  [241 178 144]
  [248 194 159]
  [252 204 168]]

 [[235 172 138]
  [214 150 119]
  [196 132 108]
  ...
  [241 180 146]
  [249 197 161]
  [252 207 170]]]"
247, Archie Panjabi,"https://m.media-amazon.com/images/M/MV5BYWI2NTJlNzYtZmYyYS00MmUyLTg3OTctNTU1NDRjMmU0NDc4XkEyXkFqcGdeQXVyNjQ2NjkzOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg","Archie is an Emmy Award winning British actress best known for her role as Kalinda Sharma in The Good Wife, for which she was nominated for an Emmy three times in a row and went on to to be honored with a Golden Globe Nomination. She made her film debut in the critically acclaimed East Is East ...                ","[[[ 97  77  76]
  [ 91  71  70]
  [ 84  64  63]
  ...
  [217 209 196]
  [217 209 196]
  [217 209 196]]

 [[ 87  67  66]
  [ 82  62  61]
  [ 76  56  55]
  ...
  [217 209 196]
  [217 209 196]
  [217 209 196]]

 [[ 74  54  53]
  [ 70  50  49]
  [ 65  45  44]
  ...
  [216 208 195]
  [216 208 195]
  [216 208 195]]

 ...

 [[226 229 243]
  [217 220 235]
  [206 210 229]
  ...
  [119 144 194]
  [120 143 193]
  [115 137 189]]

 [[201 208 225]
  [195 202 221]
  [188 197 217]
  ...
  [126 154 201]
  [122 146 198]
  [117 141 193]]

 [[182 196 219]
  [178 194 217]
  [178 193 219]
  ...
  [129 155 202]
  [129 155 202]
  [128 153 203]]]"
249, Ben Kingsley,"https://m.media-amazon.com/images/M/MV5BOTU2Njg2NzM4M15BMl5BanBnXkFtZTgwNjYwNjQwMTI@._V1_UY209_CR7,0,140,209_AL_.jpg","Ben Kingsley was born Krishna Bhanji on December 31, 1943 in Scarborough, Yorkshire, England. His father, Rahimtulla Harji Bhanji, was a Kenyan-born medical doctor, of Gujarati Indian descent, and his mother, Anna Lyna Mary (Goodman), was an English actress. Ben began to act in stage plays during ...                ","[[[  3   3   3]
  [  4   4   4]
  [  4   5   3]
  ...
  [ 18  20  21]
  [ 20  22  23]
  [ 22  24  25]]

 [[  3   3   3]
  [  3   3   3]
  [  4   5   3]
  ...
  [ 15  17  18]
  [ 18  20  21]
  [ 20  22  23]]

 [[  2   2   2]
  [  3   3   3]
  [  4   5   3]
  ...
  [ 12  14  15]
  [ 15  17  18]
  [ 18  20  21]]

 ...

 [[ 43  65 106]
  [ 37  60  98]
  [ 32  54  89]
  ...
  [  6   2   1]
  [  6   2   1]
  [  6   2   1]]

 [[ 44  67 105]
  [ 37  61  97]
  [ 33  53  88]
  ...
  [  6   2   1]
  [  6   2   1]
  [  6   2   1]]

 [[ 43  71 102]
  [ 39  64  96]
  [ 34  53  86]
  ...
  [ 11   6   7]
  [ 11   6   7]
  [ 11   6   7]]]"
250, Maulik Pancholy,"https://m.media-amazon.com/images/M/MV5BYWI5NzZmMTUtYzYwNS00ODViLWI5M2MtMTIyN2ZhMDM5OTZmXkEyXkFqcGdeQXVyMzYxNTAzMg@@._V1_UY209_CR13,0,140,209_AL_.jpg","Maulik Pancholy was born on January 18, 1974 in the USA as Maulik Navin Pancholy. He is an actor, known for 30 Rock (2006), Weeds (2005) and 27 Dresses (2008).                ","[[[16 16 28]
  [16 16 28]
  [16 16 28]
  ...
  [18 17 27]
  [18 17 27]
  [18 17 27]]

 [[16 16 28]
  [16 16 28]
  [16 16 28]
  ...
  [18 17 27]
  [18 17 27]
  [18 17 27]]

 [[16 16 28]
  [16 16 28]
  [16 16 28]
  ...
  [18 17 27]
  [18 17 27]
  [18 17 27]]

 ...

 [[29 17 11]
  [28 16 10]
  [33 21 15]
  ...
  [27 17 10]
  [22 13  4]
  [18  9  0]]

 [[24 15 12]
  [22 13 10]
  [27 16 12]
  ...
  [35 25 18]
  [33 24 15]
  [32 23 14]]

 [[15 14 18]
  [17 14 16]
  [21 15 16]
  ...
  [37 26 18]
  [37 26 18]
  [37 26 18]]]"
251, Hannah Simone,"https://m.media-amazon.com/images/M/MV5BMTU0NTQyNzQ1MV5BMl5BanBnXkFtZTcwNDI4MTM1NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg","Hannah Simone stars on FOX's hit series, New Girl (2011), opposite Zooey Deschanel. Simone hosted HGTV Canada's popular design show, ""Space for Living"", before moving onto Canada's largest music channel, ""MuchMusic"". After MuchMusic, Simone moved to Los Angeles, where she hosted two seasons of WCG ...                ","[[[174 176   0]
  [174 176   0]
  [174 176   0]
  ...
  [127 129   0]
  [127 128   0]
  [127 128   0]]

 [[174 176   0]
  [174 176   0]
  [174 176   0]
  ...
  [127 129   0]
  [127 128   0]
  [127 128   0]]

 [[175 178   0]
  [175 178   0]
  [175 178   0]
  ...
  [127 129   0]
  [127 128   0]
  [127 128   0]]

 ...

 [[188 170   3]
  [186 172   0]
  [180 175   0]
  ...
  [ 81  79   1]
  [ 83  79   1]
  [ 83  79   0]]

 [[186 171   1]
  [184 172   0]
  [182 173   0]
  ...
  [ 82  80   2]
  [ 84  80   2]
  [ 84  80   1]]

 [[183 172   0]
  [183 171   0]
  [185 170   0]
  ...
  [ 81  79   1]
  [ 83  79   1]
  [ 83  79   1]]]"
252, Tina Desai,"https://m.media-amazon.com/images/M/MV5BMTQzNDA2NDkxMF5BMl5BanBnXkFtZTcwMjc5OTczNw@@._V1_UY209_CR1,0,140,209_AL_.jpg","Tena Desae is a model turned actress who debuted in Bollywood with Yeh Faasley (2011) and made her Hollywood debut almost a year later with The Best Exotic Marigold Hotel (2011). Desae appeared on television for the first time in the Netflix television series Sense8 (2015), which follows the story ...                ","[[[227 225 225]
  [234 232 232]
  [232 230 230]
  ...
  [124 120 119]
  [238 234 233]
  [252 248 247]]

 [[233 231 231]
  [224 222 222]
  [142 140 140]
  ...
  [127 123 122]
  [239 235 234]
  [252 248 247]]

 [[241 239 239]
  [187 185 185]
  [ 40  38  38]
  ...
  [131 127 126]
  [240 236 235]
  [252 248 247]]

 ...

 [[105 126 171]
  [115 136 181]
  [ 95 118 163]
  ...
  [ 93 115 157]
  [ 94 118 160]
  [ 96 120 162]]

 [[103 124 169]
  [116 137 182]
  [101 122 167]
  ...
  [ 95 117 159]
  [ 95 119 161]
  [ 97 121 163]]

 [[105 129 171]
  [110 132 174]
  [103 125 167]
  ...
  [ 94 116 158]
  [ 94 118 160]
  [ 96 120 162]]]"
253, Arjun Gupta,"https://m.media-amazon.com/images/M/MV5BMTMyOTczMDI2MV5BMl5BanBnXkFtZTcwMTk2NDcyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg","Arjun Gupta is an actor and producer, known for Bridge and Tunnel (2014), Nurse Jackie (2009) and Stand Up Guys (2012).                ","[[[ 69  77  76]
  [ 69  77  76]
  [ 72  79  76]
  ...
  [174 141 122]
  [180 149 128]
  [185 154 133]]

 [[ 79  82  80]
  [ 80  84  79]
  [ 83  87  82]
  ...
  [174 141 122]
  [178 147 126]
  [184 153 132]]

 [[ 98  92  85]
  [100  95  86]
  [104  99  90]
  ...
  [173 140 121]
  [177 146 125]
  [181 150 129]]

 ...

 [[ 43  71 105]
  [ 37  64  98]
  [ 31  50  87]
  ...
  [131 109  91]
  [126 103  87]
  [116  93  77]]

 [[ 44  72 107]
  [ 38  65  99]
  [ 30  50  85]
  ...
  [136 114  96]
  [134 111  95]
  [126 103  87]]

 [[ 34  60  97]
  [ 31  56  90]
  [ 29  49  80]
  ...
  [133 115  98]
  [129 110  95]
  [115  96  81]]]"
254, Utkarsh Ambudkar,"https://m.media-amazon.com/images/M/MV5BZTQxNTYzZmEtNzljYy00NmI2LWIzNTItZmEyNjVkZjQ4ZTVmXkEyXkFqcGdeQXVyMzk3NTI4NTQ@._V1_UY209_CR23,0,140,209_AL_.jpg","Utkarsh Ambudkar was born on December 8, 1983 in Baltimore, Maryland, USA. He is an actor, known for Brittany Runs a Marathon (2019), Blindspotting (2018) and Free Guy (2020).                ","[[[60 28 33]
  [60 28 33]
  [62 29 33]
  ...
  [68 41 44]
  [65 41 43]
  [64 40 42]]

 [[44 18 24]
  [45 19 25]
  [48 20 26]
  ...
  [72 43 46]
  [72 43 46]
  [71 42 45]]

 [[25  8 19]
  [26  9 18]
  [31 12 21]
  ...
  [82 45 49]
  [82 45 49]
  [81 44 48]]

 ...

 [[ 0  0  0]
  [ 2  2  2]
  [ 1  1  1]
  ...
  [ 7 10 24]
  [ 9 10 24]
  [ 7 10 24]]

 [[ 5  5  5]
  [ 6  7  5]
  [ 4  4  4]
  ...
  [14 18 36]
  [14 19 34]
  [14 19 34]]

 [[25 28 26]
  [26 30 25]
  [28 31 29]
  ...
  [15 20 35]
  [18 21 35]
  [17 20 34]]]"
255, Raymond Ablack,"https://m.media-amazon.com/images/M/MV5BZGEzNGUxOTAtMTdjZi00MmY4LWJjMzctMzE1YTRjYWMwZTBkXkEyXkFqcGdeQXVyMTY1OTE5NDQ@._V1_UY209_CR1,0,140,209_AL_.jpg","Raymond was born and raised in Toronto, Canada. Bitten by the performance bug, on stage as Young Simba in The Lion King at the Princess of Wales theatre, at age 11, Raymond has enjoyed performing and entertaining ever since.He achieved international recognition for his role on Degrassi: The Next ...                ","[[[104 122 153]
  [104 122 153]
  [105 123 154]
  ...
  [164 213 205]
  [164 213 205]
  [164 213 205]]

 [[103 121 152]
  [104 122 153]
  [105 123 154]
  ...
  [164 213 205]
  [164 213 205]
  [164 213 205]]

 [[102 120 149]
  [103 121 150]
  [104 122 151]
  ...
  [165 214 206]
  [165 214 206]
  [165 214 206]]

 ...

 [[244 239 236]
  [245 240 237]
  [246 241 238]
  ...
  [252 248 247]
  [252 248 247]
  [252 248 247]]

 [[244 239 236]
  [245 240 237]
  [246 241 238]
  ...
  [252 248 247]
  [252 248 247]
  [252 248 247]]

 [[247 242 239]
  [247 242 239]
  [247 242 239]
  ...
  [251 247 246]
  [251 247 246]
  [251 247 246]]]"
